Company Name,Sales 5 quarter old,Sales 4 quarter old,Sales 3 quarter old,Sales 2 quarter old,Sales 1 quarter old,Expense 5 quarter old,Expense 4 quarter old,Expense 3 quarter old,Expense 2 quarter old,Expense 1 quarter old,Operating Profit 5 quarter old ,Operating Profit 4 quarter old ,Operating Profit 3 quarter old ,Operating Profit 2 quarter old ,Operating Profit 1 quarter old ,OPM 5 quarter old,OPM 4 quarter old,OPM 3 quarter old,OPM 2 quarter old,OPM 1 quarter old,Other Income 5 quarter old,Other Income 4 quarter old,Other Income 3 quarter old,Other Income 2 quarter old,Other Income 1 quarter old,Interest 5 quarter old,Interest 4 quarter old,Interest 3 quarter old,Interest 2 quarter old,Interest 1 quarter old,Depreciation 5 quarter old,Depreciation 4 quarter old,Depreciation 3 quarter old,Depreciation 2 quarter old,Depreciation 1 quarter old,Profit before tax 5 quarter old,Profit before tax 4 quarter old,Profit before tax 3 quarter old,Profit before tax 2 quarter old,Profit before tax 1 quarter old,Tax 5 quarter old,Tax 4 quarter old,Tax 3 quarter old,Tax 2 quarter old,Tax 1 quarter old,Net Profit 5 quarter old,Net Profit 4 quarter old,Net Profit 3 quarter old,Net Profit 2 quarter old,Net Profit 1 quarter old,EPS 5 quarter old,EPS 4 quarter old,EPS 3 quarter old,EPS 2 quarter old,EPS 1 quarter old,Change in price
Indo Thai Securities Ltd,2.81,1.53,10.00,2.53,2.17,2.69,7.97,2.26,2.46,12.36,0.12,-6.44,7.74,0.07,-10.19,4.27%,-420.92%,77.40%,2.77%,-469.59%,0.16,0.14,0.13,0.16,0.24,0.33,0.02,0.04,0.08,0.09,0.16,0.12,0.13,0.13,0.14,-0.21,-6.44,7.70,0.02,-10.18,14.29%,4.81%,10.39%,1150.00%,24.85%,-0.19,-6.13,6.90,-0.22,-7.65,-0.19,-6.13,6.90,-0.22,-7.65,-22.78
Veljan Denison Ltd,27.33,28.22,28.87,26.80,26.75,19.65,21.41,22.16,21.05,22.64,7.68,6.81,6.71,5.75,4.11,28.10%,24.13%,23.24%,21.46%,15.36%,0.66,0.56,0.60,0.26,0.61,-0.05,0.05,0.22,0.36,0.16,1.19,1.18,1.19,1.27,1.22,7.20,6.14,5.90,4.38,3.34,30.56%,26.06%,25.93%,26.26%,26.95%,5.00,4.55,4.36,3.23,2.44,22.22,20.22,19.38,14.36,10.84,4.86
Artson Engineering Ltd,46.56,37.40,34.06,30.65,29.30,45.93,39.10,36.79,29.71,36.37,0.63,-1.70,-2.73,0.94,-7.07,1.35%,-4.55%,-8.02%,3.07%,-24.13%,0.19,0.05,0.15,0.01,0.77,2.43,2.45,2.37,2.76,2.60,0.24,0.29,0.30,0.29,0.33,-1.85,-4.39,-5.25,-2.10,-9.23,-5.95%,-11.39%,-27.05%,5.71%,-8.02%,-1.96,-4.89,-6.66,-1.99,-9.96,-0.53,-1.32,-1.80,-0.54,-2.70,-37.07
Cineline India Ltd,14.51,30.06,23.97,41.79,44.75,9.30,22.69,22.27,32.81,38.55,5.21,7.37,1.70,8.98,6.20,35.91%,24.52%,7.09%,21.49%,13.85%,1.49,-2.30,28.48,0.92,1.21,7.78,6.16,8.26,9.50,10.02,3.56,3.40,4.93,6.67,6.84,-4.64,-4.49,16.99,-6.27,-9.45,-57.97%,19.38%,0.24%,24.08%,26.77%,-7.33,-3.62,16.95,-4.75,-6.92,-2.44,-1.15,5.37,-1.50,-2.19,208.41
Shri Dinesh Mills Ltd,24.64,26.13,24.58,23.32,24.14,21.79,21.01,21.27,21.58,23.37,2.85,5.12,3.31,1.74,0.77,11.57%,19.59%,13.47%,7.46%,3.19%,21.80,1.06,13.96,1.97,8.41,0.25,0.26,0.38,0.43,0.32,1.15,1.40,1.42,1.49,1.46,23.25,4.52,15.47,1.79,7.40,13.33%,9.07%,20.88%,40.78%,10.95%,20.14,4.12,12.24,1.06,6.59,34.85,6.05,20.05,2.41,12.77,3.72
Ashima Ltd,58.66,62.89,48.66,58.16,38.16,61.29,63.61,48.03,56.93,43.32,-2.63,-0.72,0.63,1.23,-5.16,-4.48%,-1.14%,1.29%,2.11%,-13.52%,33.28,3.79,1.09,-1.91,0.77,0.56,0.62,0.54,0.61,0.48,0.72,1.03,1.03,1.04,1.03,29.37,1.42,0.15,-2.33,-5.90,0.00%,0.00%,0.00%,0.00%,0.00%,29.37,1.42,0.15,-2.33,-5.90,1.53,0.07,0.01,-0.12,-0.31,-34.95
Indian Toners & Developers Ltd,33.66,34.89,38.28,39.68,43.01,28.36,28.12,29.91,31.55,32.15,5.30,6.77,8.37,8.13,10.86,15.75%,19.40%,21.87%,20.49%,25.25%,0.90,1.19,0.17,0.98,1.50,0.05,0.02,0.00,0.01,0.24,0.97,0.80,0.82,0.96,1.34,5.18,7.14,7.72,8.14,10.78,-12.74%,19.89%,26.81%,7.00%,34.51%,5.84,5.70,5.66,7.58,7.05,5.38,5.25,5.22,6.99,6.50,48.42
KCP Sugar & Industries Corporation Ltd,65.43,73.68,82.09,74.43,59.06,57.04,73.82,69.20,88.48,53.62,8.39,-0.14,12.89,-14.05,5.44,12.82%,-0.19%,15.70%,-18.88%,9.21%,-6.22,6.25,23.68,56.04,-1.45,5.20,4.15,3.17,2.92,4.05,2.97,0.64,0.65,1.37,2.74,-6.00,1.32,32.75,37.70,-2.80,15.00%,208.33%,11.63%,-1.09%,-202.50%,-5.11,-1.43,28.94,38.11,-8.47,-0.45,-0.13,2.55,3.36,-0.75,1.22
Vertoz Advertising Ltd,10.00,11.03,15.88,21.58,34.32,7.37,8.33,12.32,17.24,27.80,2.63,2.70,3.56,4.34,6.52,26.30%,24.48%,22.42%,20.11%,19.00%,0.03,0.03,0.58,0.37,-0.03,0.08,0.21,0.20,0.31,0.73,0.76,0.66,0.65,0.66,0.71,1.82,1.86,3.29,3.74,5.05,0.00%,24.19%,29.18%,14.44%,18.81%,1.83,1.41,2.33,3.20,4.10,1.53,1.18,1.95,2.67,3.43,10.77
ABans Enterprises Ltd,619.11,490.86,590.96,445.15,343.21,613.50,490.90,585.82,438.73,340.66,5.61,-0.04,5.14,6.42,2.55,0.91%,-0.01%,0.87%,1.44%,0.74%,13.18,8.12,0.57,0.29,1.17,2.23,0.76,0.86,0.99,1.85,0.43,0.35,0.34,0.34,0.34,16.13,6.97,4.51,5.38,1.53,7.01%,-33.00%,33.48%,25.09%,6.54%,15.00,9.27,3.01,4.01,1.44,10.57,6.24,2.01,2.77,0.94,13.30
