Company Name,Sales 5 quarter old,Sales 4 quarter old,Sales 3 quarter old,Sales 2 quarter old,Sales 1 quarter old,Expense 5 quarter old,Expense 4 quarter old,Expense 3 quarter old,Expense 2 quarter old,Expense 1 quarter old,Operating Profit 5 quarter old ,Operating Profit 4 quarter old ,Operating Profit 3 quarter old ,Operating Profit 2 quarter old ,Operating Profit 1 quarter old ,OPM 5 quarter old,OPM 4 quarter old,OPM 3 quarter old,OPM 2 quarter old,OPM 1 quarter old,Other Income 5 quarter old,Other Income 4 quarter old,Other Income 3 quarter old,Other Income 2 quarter old,Other Income 1 quarter old,Interest 5 quarter old,Interest 4 quarter old,Interest 3 quarter old,Interest 2 quarter old,Interest 1 quarter old,Depreciation 5 quarter old,Depreciation 4 quarter old,Depreciation 3 quarter old,Depreciation 2 quarter old,Depreciation 1 quarter old,Profit before tax 5 quarter old,Profit before tax 4 quarter old,Profit before tax 3 quarter old,Profit before tax 2 quarter old,Profit before tax 1 quarter old,Tax 5 quarter old,Tax 4 quarter old,Tax 3 quarter old,Tax 2 quarter old,Tax 1 quarter old,Net Profit 5 quarter old,Net Profit 4 quarter old,Net Profit 3 quarter old,Net Profit 2 quarter old,Net Profit 1 quarter old,EPS 5 quarter old,EPS 4 quarter old,EPS 3 quarter old,EPS 2 quarter old,EPS 1 quarter old,Change in price
Khoobsurat Ltd,0.00,0.00,0.00,0.00,0.00,0.22,0.10,0.08,0.10,0.09,-0.22,-0.10,-0.08,-0.10,-0.09,,,,,,0.13,0.28,0.13,0.17,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,0.18,0.05,0.07,0.06,22.22%,27.78%,20.00%,28.57%,16.67%,-0.07,0.13,0.04,0.05,0.05,-0.01,0.01,0.00,0.00,0.00,-7.91
Sibar Auto Parts Ltd,6.92,6.78,6.89,6.03,6.25,6.55,6.53,6.60,5.92,6.74,0.37,0.25,0.29,0.11,-0.49,5.35%,3.69%,4.21%,1.82%,-7.84%,0.66,0.09,0.05,0.09,0.83,0.15,0.16,0.16,0.17,0.14,0.14,0.14,0.14,0.14,0.14,0.74,0.04,0.04,-0.11,0.06,-6.76%,0.00%,0.00%,0.00%,-50.00%,0.78,0.04,0.04,-0.11,0.09,0.47,0.02,0.02,-0.07,0.05,41.25
Onelife Capital Advisors Ltd,1.34,0.82,0.94,1.30,1.37,2.01,0.79,1.34,2.02,2.19,-0.67,0.03,-0.40,-0.72,-0.82,-50.00%,3.66%,-42.55%,-55.38%,-59.85%,0.70,0.19,0.20,0.20,0.39,0.02,0.24,0.20,0.20,0.86,0.04,0.00,0.00,0.02,0.03,-0.03,-0.02,-0.40,-0.74,-1.32,133.33%,-100.00%,-10.00%,-6.76%,8.33%,0.00,-0.04,-0.44,-0.79,-1.21,0.00,-0.03,-0.33,-0.59,-0.91,2.24
Paragon Finance Ltd,0.58,0.42,0.55,0.90,0.29,0.57,0.88,0.49,0.28,0.54,0.01,-0.46,0.06,0.62,-0.25,1.72%,-109.52%,10.91%,68.89%,-86.21%,0.26,0.02,0.00,0.98,-0.89,0.01,0.01,0.01,0.01,0.00,0.02,0.04,0.04,0.04,0.04,0.24,-0.49,0.01,1.55,-1.18,33.33%,0.00%,0.00%,13.55%,15.25%,0.15,-0.49,0.01,1.34,-1.00,0.35,-1.15,0.02,3.15,-2.35,-50.00
Prima Industries Ltd,4.96,2.02,1.74,2.34,1.48,6.97,1.73,1.65,2.06,1.26,-2.01,0.29,0.09,0.28,0.22,-40.52%,14.36%,5.17%,11.97%,14.86%,0.11,0.00,0.00,0.01,0.33,0.06,0.00,0.00,0.00,0.03,0.23,0.23,0.25,0.25,0.10,-2.19,0.06,-0.16,0.04,0.42,-15.53%,0.00%,0.00%,0.00%,-21.43%,-2.54,0.06,-0.16,0.04,0.51,-2.35,0.06,-0.15,0.04,0.47,-6.78
Silly Monks Entertainment Ltd,7.24,5.03,5.55,5.56,3.21,8.78,5.48,5.55,5.99,7.43,-1.54,-0.45,0.00,-0.43,-4.22,-21.27%,-8.95%,0.00%,-7.73%,-131.46%,0.00,0.04,0.00,0.16,0.01,0.00,0.00,0.00,0.00,0.00,0.32,0.13,0.14,0.13,0.13,-1.86,-0.54,-0.14,-0.40,-4.34,5.91%,25.93%,14.29%,62.50%,11.98%,-1.74,-0.41,-0.12,-0.15,-3.82,-1.70,-0.40,-0.12,-0.15,-3.74,-55.66
KJMC Financial Services Ltd,0.69,0.37,1.20,0.72,0.64,0.70,0.79,0.51,0.77,0.75,-0.01,-0.42,0.69,-0.05,-0.11,-1.45%,-113.51%,57.50%,-6.94%,-17.19%,0.04,0.04,0.05,0.05,0.05,0.13,0.12,0.17,0.22,0.24,0.05,0.04,0.04,0.05,0.07,-0.15,-0.54,0.53,-0.27,-0.37,193.33%,3.70%,26.42%,0.00%,-37.84%,0.14,-0.53,0.38,-0.27,-0.51,0.29,-1.11,0.79,-0.56,-1.07,-7.25
Cella Space Ltd,1.61,1.90,1.76,1.74,2.01,0.96,0.52,0.55,0.54,0.83,0.65,1.38,1.21,1.20,1.18,40.37%,72.63%,68.75%,68.97%,58.71%,1.79,0.09,0.09,0.10,0.13,0.75,0.75,0.70,0.66,0.63,0.24,0.37,0.37,0.36,0.39,1.45,0.35,0.23,0.28,0.29,0.00%,0.00%,0.00%,0.00%,10.34%,1.45,0.35,0.23,0.29,0.26,0.76,0.17,0.11,0.14,0.13,-7.09
Interworld Digital Ltd,0.02,0.01,0.02,0.02,0.01,0.08,0.05,0.07,0.07,0.06,-0.06,-0.04,-0.05,-0.05,-0.05,-300.00%,-400.00%,-250.00%,-250.00%,-500.00%,-31.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-31.88,-0.04,-0.05,-0.05,-0.05,1.32%,0.00%,0.00%,0.00%,0.00%,-31.46,-0.04,-0.05,-0.05,-0.05,-0.66,0.00,0.00,0.00,0.00,-50.00
Steel Strips Infrastructures Ltd,0.28,0.28,0.28,0.28,0.27,6.31,0.54,2.68,0.52,0.90,-6.03,-0.26,-2.40,-0.24,-0.63,-2153.57%,-92.86%,-857.14%,-85.71%,-233.33%,0.01,1.70,0.02,0.50,0.02,0.11,0.10,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,-6.13,1.34,-2.48,0.16,-0.71,0.00%,0.00%,0.00%,0.00%,0.00%,-6.13,1.34,-2.48,0.16,-0.71,-7.09,1.55,-2.87,0.19,-0.82,-3.57
Bisil Plast Ltd,0.46,0.72,1.07,1.87,0.38,0.46,0.71,1.05,1.72,0.39,0.00,0.01,0.02,0.15,-0.01,0.00%,1.39%,1.87%,8.02%,-2.63%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.15,-0.01,,0.00%,0.00%,0.00%,0.00%,0.00,0.01,0.02,0.15,-0.01,0.00,0.00,0.00,0.03,0.00,281.48
Gilada Finance & Investments Ltd,1.18,1.04,1.15,1.29,0.85,0.57,0.56,0.48,0.63,1.47,0.61,0.48,0.67,0.66,-0.62,51.69%,46.15%,58.26%,51.16%,-72.94%,0.01,0.00,0.00,0.00,1.48,0.02,0.04,0.21,0.18,0.16,0.01,0.01,0.01,0.01,0.00,0.59,0.43,0.45,0.47,0.70,-1.69%,25.58%,24.44%,25.53%,27.14%,0.60,0.32,0.34,0.35,0.50,0.43,0.23,0.24,0.25,0.36,-3.49
Shree Bhavya Fabrics Ltd,44.55,52.91,49.51,37.87,53.79,42.82,50.67,46.96,35.21,51.91,1.73,2.24,2.55,2.66,1.88,3.88%,4.23%,5.15%,7.02%,3.50%,0.06,0.06,0.04,0.05,0.60,1.46,1.70,1.77,1.89,2.00,-0.15,0.25,0.24,0.24,0.14,0.48,0.35,0.58,0.58,0.34,33.33%,25.71%,20.69%,34.48%,-23.53%,0.32,0.26,0.46,0.39,0.43,0.34,0.27,0.48,0.41,0.45,24.49
Eastern Silk Industries Ltd,18.56,20.66,7.30,5.43,4.62,20.92,20.44,9.72,8.91,10.74,-2.36,0.22,-2.42,-3.48,-6.12,-12.72%,1.06%,-33.15%,-64.09%,-132.47%,0.41,0.26,0.29,0.31,0.59,1.12,0.00,0.00,0.00,1.12,1.04,0.87,0.67,0.72,0.70,-4.11,-0.39,-2.80,-3.89,-7.35,0.00%,0.00%,0.00%,0.00%,0.00%,-4.10,-0.40,-2.80,-3.89,-7.35,-0.52,-0.05,-0.35,-0.49,-0.93,-75.11
USG Tech Solutions Ltd,0.00,0.27,0.00,0.00,0.00,0.15,0.17,0.11,0.15,0.12,-0.15,0.10,-0.11,-0.15,-0.12,,37.04%,,,,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.03,0.11,0.02,0.00,0.00,0.00,0.00,0.00,-0.26,0.07,-0.14,-0.26,-0.14,0.00%,0.00%,0.00%,0.00%,0.00%,-0.26,0.06,-0.14,-0.26,-0.14,-0.07,0.02,-0.04,-0.07,-0.04,0.12
Nuway Organic Naturals India Ltd,0.00,0.00,0.00,0.00,0.00,0.80,0.17,0.05,0.01,0.00,-0.80,-0.17,-0.05,-0.01,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.41,0.41,0.45,-0.80,-0.92,-0.46,-0.42,-0.45,0.00%,0.00%,0.00%,0.00%,0.00%,-0.80,-0.92,-0.46,-0.42,-0.46,-0.83,-0.96,-0.48,-0.44,-0.48,-100.00
Triveni Enterprises Ltd,10.51,2.99,2.95,2.63,0.00,9.44,2.98,2.94,2.64,0.06,1.07,0.01,0.01,-0.01,-0.06,10.18%,0.33%,0.34%,-0.38%,,0.15,0.12,0.13,0.13,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.22,0.13,0.14,0.12,0.04,27.87%,23.08%,28.57%,25.00%,25.00%,0.88,0.10,0.11,0.09,0.03,0.15,0.02,0.02,0.02,0.01,28.70
Easy Fincorp Ltd,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.03,0.03,0.05,-0.04,-0.03,-0.03,-0.03,-0.05,,,,,,0.02,0.02,0.02,0.02,0.02,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,-0.02,-0.01,-0.01,-0.01,-0.16,-450.00%,0.00%,0.00%,0.00%,18.75%,-0.11,-0.01,-0.01,-0.01,-0.12,-4.49,-0.41,-0.41,-0.41,-4.90,-100.00
Adarsh Plant Protect Ltd,4.68,4.79,5.11,3.15,4.16,5.29,4.47,4.97,3.25,4.05,-0.61,0.32,0.14,-0.10,0.11,-13.03%,6.68%,2.74%,-3.17%,2.64%,0.00,0.00,0.01,0.01,0.00,0.02,0.05,0.06,0.07,0.03,0.01,0.01,0.03,0.02,0.02,-0.64,0.26,0.06,-0.18,0.06,0.00%,0.00%,0.00%,0.00%,0.00%,-0.65,0.26,0.06,-0.17,0.06,-0.66,0.26,0.06,-0.17,0.06,-25.29
Kapil Cotex Ltd,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.00,0.01,0.00,-0.01,-0.04,0.00,-0.01,0.00,,,,,,0.00,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.01,-0.01,0.00,0.00%,,0.00%,0.00%,,-0.01,0.00,0.01,-0.01,0.00,-0.10,0.00,0.10,-0.10,0.00,0.00
Maharashtra Corporation Ltd,0.00,0.00,0.00,0.50,0.62,0.57,0.13,0.05,0.05,0.17,-0.57,-0.13,-0.05,0.45,0.45,,,,90.00%,72.58%,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,-0.57,-0.13,-0.05,0.45,0.43,0.00%,0.00%,0.00%,0.00%,0.00%,-0.57,-0.13,-0.05,0.45,0.43,-0.01,0.00,0.00,0.01,0.01,-24.22
Sagar Productions Ltd,0.16,0.72,0.37,0.33,0.00,0.28,0.77,0.41,0.36,0.10,-0.12,-0.05,-0.04,-0.03,-0.10,-75.00%,-6.94%,-10.81%,-9.09%,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,-0.05,-0.04,-0.03,-0.10,0.00%,0.00%,0.00%,0.00%,0.00%,-0.12,-0.05,-0.04,-0.03,-0.10,-0.03,-0.01,-0.01,-0.01,-0.02,-100.00
Prag Bosimi Synthetics Ltd,1.32,0.90,0.43,0.08,0.08,14.29,1.42,0.45,0.35,1.12,-12.97,-0.52,-0.02,-0.27,-1.04,-982.58%,-57.78%,-4.65%,-337.50%,-1300.00%,2.08,0.01,0.00,0.01,0.15,2.33,1.08,1.10,1.10,2.95,0.53,1.00,1.04,1.07,1.09,-13.75,-2.59,-2.16,-2.43,-4.93,0.00%,0.00%,0.00%,0.00%,-9.74%,-13.76,-2.59,-2.16,-2.43,-5.41,-1.85,-0.35,-0.29,-0.33,-0.73,-93.94
CMI Ltd,14.85,8.04,7.58,2.39,1.90,16.63,80.15,10.14,3.76,5.36,-1.78,-72.11,-2.56,-1.37,-3.46,-11.99%,-896.89%,-33.77%,-57.32%,-182.11%,0.53,29.95,0.05,3.84,0.03,11.43,10.06,10.89,10.44,3.54,2.58,2.61,2.35,2.29,2.28,-15.26,-54.83,-15.75,-10.26,-9.25,26.34%,28.82%,24.32%,27.97%,24.43%,-11.25,-39.03,-11.92,-7.38,-6.99,-7.02,-24.35,-7.44,-4.60,-4.36,-87.21
Gujarat Raffia Industries Ltd,12.86,12.82,7.33,8.26,10.83,12.48,11.64,7.60,7.80,10.81,0.38,1.18,-0.27,0.46,0.02,2.95%,9.20%,-3.68%,5.57%,0.18%,0.19,0.03,1.01,0.38,0.82,0.15,0.40,0.18,0.23,0.26,0.25,0.32,0.32,0.33,0.31,0.17,0.49,0.24,0.28,0.27,5.88%,16.33%,16.67%,28.57%,22.22%,0.16,0.42,0.20,0.20,0.22,0.30,0.78,0.37,0.37,0.41,14.40
Jindal Capital Ltd,2.45,2.00,0.87,1.02,1.09,2.55,1.60,0.85,0.95,1.35,-0.10,0.40,0.02,0.07,-0.26,-4.08%,20.00%,2.30%,6.86%,-23.85%,0.01,0.00,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.03,0.01,0.01,0.01,0.00,-0.12,0.39,0.03,0.06,-0.26,16.67%,25.64%,0.00%,0.00%,3.85%,-0.11,0.29,0.03,0.06,-0.26,-0.15,0.40,0.04,0.08,-0.36,7.29
Cindrella Hotels Ltd,1.79,2.09,1.51,2.19,2.21,1.28,1.63,1.14,1.86,2.05,0.51,0.46,0.37,0.33,0.16,28.49%,22.01%,24.50%,15.07%,7.24%,0.01,0.01,0.01,2.66,0.05,0.04,0.02,0.01,0.00,0.01,0.24,0.19,0.19,0.21,0.23,0.24,0.26,0.18,2.78,-0.03,-66.67%,53.85%,11.11%,2.52%,-1266.67%,0.40,0.12,0.16,2.72,-0.42,1.11,0.33,0.44,7.56,-1.17,35.23
Margo Finance Ltd,0.09,0.03,0.35,0.08,0.13,0.51,0.12,0.09,0.66,0.06,-0.42,-0.09,0.26,-0.58,0.07,-466.67%,-300.00%,74.29%,-725.00%,53.85%,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.41,-0.09,0.26,-0.58,0.07,-19.51%,0.00%,7.69%,-25.86%,71.43%,-0.49,-0.09,0.22,-0.72,0.01,-1.07,-0.20,0.48,-1.58,0.02,44.44
Square Four Projects India Ltd,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.05,0.06,0.05,-0.06,-0.05,-0.05,-0.06,-0.05,,,,,,0.07,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.05,-0.05,-0.06,0.07,100.00%,0.00%,0.00%,0.00%,14.29%,0.00,-0.05,-0.05,-0.06,0.06,0.00,-0.05,-0.05,-0.06,0.06,0.19
Iykot Hitech Toolroom Ltd,1.12,0.72,1.17,0.22,0.13,1.28,0.91,1.30,0.60,0.49,-0.16,-0.19,-0.13,-0.38,-0.36,-14.29%,-26.39%,-11.11%,-172.73%,-276.92%,0.00,0.02,0.02,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.04,0.04,0.05,-0.19,-0.21,-0.15,-0.40,-0.37,0.00%,0.00%,0.00%,0.00%,0.00%,-0.19,-0.20,-0.15,-0.40,-0.37,-0.31,-0.33,-0.25,-0.66,-0.61,-88.39
Objectone Information Systems Ltd,9.96,18.97,14.71,17.23,9.20,9.05,17.69,14.15,16.81,8.35,0.91,1.28,0.56,0.42,0.85,9.14%,6.75%,3.81%,2.44%,9.24%,0.02,-0.06,0.05,0.04,-0.02,0.05,0.01,0.03,0.04,0.04,0.06,0.06,0.06,0.06,0.07,0.82,1.15,0.52,0.36,0.72,40.24%,21.74%,23.08%,25.00%,43.06%,0.50,0.90,0.40,0.27,0.40,0.48,0.86,0.38,0.26,0.38,-10.14
United Leasing & Industries Ltd,2.23,1.99,2.89,4.45,1.11,1.83,1.68,2.40,4.10,0.92,0.40,0.31,0.49,0.35,0.19,17.94%,15.58%,16.96%,7.87%,17.12%,0.00,0.01,0.01,0.00,0.00,0.05,0.06,0.06,0.06,0.11,0.11,0.10,0.13,0.12,0.15,0.24,0.16,0.31,0.17,-0.07,41.67%,0.00%,38.71%,23.53%,42.86%,0.14,0.16,0.19,0.13,-0.05,0.47,0.53,0.63,0.43,-0.17,-9.73
Indo Cotspin Ltd,7.10,2.50,1.38,3.01,6.32,6.70,2.47,1.28,2.79,6.10,0.40,0.03,0.10,0.22,0.22,5.63%,1.20%,7.25%,7.31%,3.48%,0.08,0.17,0.15,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.36,0.11,0.11,0.17,0.22,0.12,0.09,0.14,0.05,0.01,33.33%,11.11%,14.29%,60.00%,-400.00%,0.07,0.08,0.12,0.02,0.04,0.17,0.19,0.29,0.05,0.10,-10.44
Sri Nachammai Cotton Mills Ltd,56.14,39.67,35.78,22.21,19.54,51.11,36.80,34.90,24.28,22.55,5.03,2.87,0.88,-2.07,-3.01,8.96%,7.23%,2.46%,-9.32%,-15.40%,0.25,0.32,0.27,0.27,0.62,1.32,1.30,1.34,0.78,0.65,0.48,0.43,0.47,0.24,0.28,3.48,1.46,-0.66,-2.82,-3.32,24.14%,-1.37%,-1.52%,15.25%,46.99%,2.64,1.48,-0.66,-2.39,-1.76,6.14,3.44,-1.53,-5.56,-4.09,-65.19
Marble City India Ltd,21.44,26.66,15.50,30.61,36.41,19.90,25.10,13.72,28.85,34.02,1.54,1.56,1.78,1.76,2.39,7.18%,5.85%,11.48%,5.75%,6.56%,0.01,0.17,0.02,0.02,0.03,1.17,1.08,1.40,1.17,1.65,0.23,0.08,0.18,0.35,0.40,0.15,0.57,0.22,0.26,0.37,20.00%,36.84%,22.73%,26.92%,21.62%,0.12,0.37,0.17,0.19,0.29,0.10,0.31,0.14,0.16,0.24,3.63
Neil Industries Ltd,0.73,0.74,0.76,0.77,0.72,4.67,0.13,0.13,0.11,0.16,-3.94,0.61,0.63,0.66,0.56,-539.73%,82.43%,82.89%,85.71%,77.78%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.94,0.61,0.63,0.66,0.56,-5.58%,24.59%,25.40%,28.79%,14.29%,-4.16,0.45,0.47,0.46,0.47,-2.13,0.23,0.24,0.24,0.24,1.00
Gajanan Securities Services Ltd,-0.01,-0.13,0.19,0.02,-0.03,0.84,0.05,0.06,0.01,0.04,-0.85,-0.18,0.13,0.01,-0.07,,,68.42%,50.00%,,-0.03,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.88,-0.04,0.13,0.01,-0.07,-1.14%,100.00%,38.46%,0.00%,0.00%,-0.89,-0.01,0.16,0.36,-0.07,-2.87,-0.03,0.52,1.16,-0.23,146.73
Virgo Global Ltd,7.08,6.30,7.84,10.33,18.01,6.06,6.99,6.86,10.34,17.91,1.02,-0.69,0.98,-0.01,0.10,14.41%,-10.95%,12.50%,-0.10%,0.56%,0.03,0.00,0.00,0.06,-0.02,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,1.05,-0.69,0.98,0.05,-0.03,3.81%,0.00%,6.12%,20.00%,0.00%,1.01,-0.70,0.91,0.04,-0.04,0.96,-0.67,0.87,0.04,-0.04,180.96
Citadel Realty & Developers Ltd,0.62,0.70,0.71,0.71,0.70,0.06,0.04,0.06,0.06,0.10,0.56,0.66,0.65,0.65,0.60,90.32%,94.29%,91.55%,91.55%,85.71%,0.00,0.00,0.00,0.00,0.00,0.43,0.58,0.01,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.64,0.35,0.30,30.77%,25.00%,20.31%,34.29%,33.33%,0.09,0.06,0.52,0.24,0.21,0.11,0.08,0.66,0.30,0.27,7.14
Omkar Speciality Chemicals Ltd,7.36,4.23,6.34,5.05,3.74,7.76,6.55,6.21,8.16,4.69,-0.40,-2.32,0.13,-3.11,-0.95,-5.43%,-54.85%,2.05%,-61.58%,-25.40%,0.02,0.72,0.01,0.21,0.12,1.43,1.49,1.57,1.58,1.69,0.47,0.47,0.40,0.44,0.39,-2.28,-3.56,-1.83,-4.92,-2.91,0.00%,0.00%,0.00%,0.00%,0.00%,-2.28,-3.56,-1.84,-4.92,-2.90,-1.11,-1.73,-0.89,-2.39,-1.41,-49.18
IB Infotech Enterprises Ltd,0.01,0.00,0.76,1.62,0.62,0.03,0.08,0.63,1.05,0.41,-0.02,-0.08,0.13,0.57,0.21,-200.00%,,17.11%,35.19%,33.87%,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,-0.02,-0.08,0.14,0.56,0.19,0.00%,0.00%,0.00%,5.36%,21.05%,-0.02,-0.08,0.14,0.53,0.14,-0.16,-0.62,1.09,4.14,1.09,179.60
Gradiente Infotainment Ltd,0.01,0.06,0.08,0.57,0.41,0.08,0.00,-0.12,0.39,0.32,-0.07,0.06,0.20,0.18,0.09,-700.00%,100.00%,250.00%,31.58%,21.95%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.15,0.04,0.14,0.10,0.06,-0.22,0.02,0.06,0.07,0.02,0.00%,0.00%,0.00%,0.00%,200.00%,-0.22,0.02,0.06,0.07,-0.02,-0.10,0.01,0.03,0.03,-0.01,-10.27
Dhanada Corporation Ltd,1.07,2.00,1.56,2.29,2.01,1.50,1.54,2.04,2.13,1.71,-0.43,0.46,-0.48,0.16,0.30,-40.19%,23.00%,-30.77%,6.99%,14.93%,0.02,0.01,0.09,0.01,0.02,1.18,1.22,1.24,1.30,1.37,0.17,0.17,0.16,0.16,0.17,-1.76,-0.92,-1.79,-1.29,-1.22,0.00%,0.00%,0.00%,0.00%,0.00%,-1.76,-0.92,-1.79,-1.29,-1.22,-0.31,-0.16,-0.32,-0.23,-0.22,87.85
Pradhin Ltd,0.00,0.00,3.36,7.91,5.79,0.18,0.05,3.43,7.96,5.84,-0.18,-0.05,-0.07,-0.05,-0.05,,,-2.08%,-0.63%,-0.86%,0.00,0.10,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,-0.19,0.05,-0.07,-0.05,-0.04,-26.32%,20.00%,0.00%,0.00%,50.00%,-0.24,0.03,-0.07,-0.05,-0.01,-0.66,0.08,-0.19,-0.14,-0.03,0.01
Viji Finance Ltd,0.32,0.54,0.70,0.34,0.46,0.24,0.10,0.13,0.20,0.50,0.08,0.44,0.57,0.14,-0.04,25.00%,81.48%,81.43%,41.18%,-8.70%,0.05,0.01,0.00,0.00,0.00,0.03,0.04,0.04,0.08,0.04,0.02,0.09,0.09,0.09,0.09,0.08,0.32,0.44,-0.03,-0.17,25.00%,25.00%,25.00%,33.33%,23.53%,0.06,0.24,0.32,-0.02,-0.13,0.01,0.03,0.04,0.00,-0.02,-20.83
Econo Trade India Ltd,1.34,0.87,1.28,1.29,1.10,1.15,0.26,0.00,0.16,0.12,0.19,0.61,1.28,1.13,0.98,14.18%,70.11%,100.00%,87.60%,89.09%,0.09,0.00,0.01,0.00,0.02,0.21,0.32,0.43,0.43,0.43,0.00,0.00,0.00,0.00,0.00,0.07,0.29,0.86,0.70,0.57,-14.29%,24.14%,17.44%,22.86%,29.82%,0.08,0.22,0.71,0.54,0.40,0.04,0.12,0.38,0.29,0.21,-0.50
Alexander Stamps & Coin Ltd,0.42,0.16,0.11,0.12,0.15,0.53,0.15,0.13,0.13,0.14,-0.11,0.01,-0.02,-0.01,0.01,-26.19%,6.25%,-18.18%,-8.33%,6.67%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,-0.11,0.00,-0.03,-0.02,0.00,18.18%,,0.00%,0.00%,,-0.10,0.01,-0.02,-0.01,0.01,-0.11,0.01,-0.02,-0.01,0.01,-64.29
Padmanabh Alloys & Polymers Ltd,8.55,9.67,12.51,9.61,9.67,8.14,9.37,11.87,9.36,9.97,0.41,0.30,0.64,0.25,-0.30,4.80%,3.10%,5.12%,2.60%,-3.10%,0.01,0.00,0.00,0.00,0.03,0.08,0.08,0.09,0.10,0.12,0.04,0.04,0.04,0.06,0.00,0.30,0.18,0.51,0.09,-0.39,10.00%,27.78%,27.45%,33.33%,0.00%,0.27,0.13,0.37,0.06,-0.39,0.50,0.24,0.68,0.11,-0.72,-22.67
Neeraj Paper Marketing Ltd,41.24,64.33,62.83,43.45,49.32,40.63,63.45,62.03,42.67,48.61,0.61,0.88,0.80,0.78,0.71,1.48%,1.37%,1.27%,1.80%,1.44%,0.01,0.00,0.00,0.00,0.03,0.31,0.53,0.49,0.50,0.57,0.10,0.10,0.10,0.10,0.09,0.21,0.25,0.21,0.18,0.08,133.33%,36.00%,14.29%,33.33%,50.00%,-0.08,0.16,0.18,0.13,0.04,-0.07,0.15,0.16,0.12,0.04,-8.96
MPDL Ltd,2.81,2.94,4.80,7.82,-1.37,9.75,3.90,7.92,9.47,-6.55,-6.94,-0.96,-3.12,-1.65,5.18,-246.98%,-32.65%,-65.00%,-21.10%,,5.38,0.25,0.25,0.28,-0.35,0.00,0.00,0.00,0.00,0.94,0.18,0.10,0.10,0.09,1.05,-1.74,-0.81,-2.97,-1.46,2.84,0.00%,0.00%,0.00%,0.00%,51.06%,-1.74,-0.81,-2.97,-1.46,1.40,-2.35,-1.09,-4.01,-1.97,1.89,-148.75
Classic Filaments Ltd,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.02,0.02,0.02,-0.02,-0.04,-0.02,-0.02,-0.02,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.04,-0.02,-0.02,-0.02,0.00%,0.00%,0.00%,0.00%,0.00%,-0.02,-0.04,-0.02,-0.02,-0.02,-0.03,-0.07,-0.03,-0.03,-0.03,0.01
